key,tables,label1,label2,l2d,label3,label4,shortDesc,sign,unit,tipTitle,mainTip,teamTip,playerTip
and1,"pgps,taps,paps,tgps",And1s,And 1s,1,And 1s,And 1s,NA,pos,int,And 1s,The total number of times a shot was made while being fouled by a defender from the opposing team (total number of And 1s).,NA,NA
and1P100,"taps,paps",And1/100,And1/100,1,And 1s / 100 Poss,And 1s / 100 Poss,NA,pos,num,And 1s / 100 Poss,The number of and 1s (made shot + foul drawn) per 100 possessions.,NA,NA
and1P40,"taps,paps",And1/40,And1/40,1,And 1s / 40 Mins,And 1s / 40 Mins,NA,pos,num,And 1s / 40 Mins,The number of and 1s (made shot + foul drawn) per 40 minutes.,NA,NA
and1Pct,"pgps,taps,paps,tgps",And1%,And1%,1,And 1 Pct,And 1 Percentage,NA,pos,pct,And 1 Percentage,The percentage of shooting fouls drawn where the shot was made.,NA,NA
and1Pct3P,"pgps,taps,paps,tgps",3A1%,3And1%,1,And 1 Pct on SFL3,And 1 Percentage on 3P SFLs,NA,pos,pct,And 1 Percentage (On 3-Point Shooting Foul),The percentage of 3-point shooting fouls drawn where the shot was made.,NA,NA
and1Pg,"taps,paps",And1/G,And1/G,1,And 1s / Game,And 1s / Game,NA,pos,num,And 1s / Game,The number of and 1s (made shot + foul drawn) per game.,NA,NA
and1on2s,"pgps,taps,tgps",2A1s,2P And 1s,1,And 1s on SFL2,And 1s on 2P SFLs,NA,pos,int,And 1s Made (On 2-Point Shooting Foul),The total number of times a 2-point shot was made while being fouled by a defender from the opposing team (total number of And 1s made on 2-point shooting fouls).,NA,NA
and1on3s,"pgps,taps,paps,tgps",3A1s,3P And 1s,1,And 1s on SFL3,And 1s on 3P SFLs,NA,pos,int,And 1s Made (On 3-Point Shooting Foul),The total number of times a 3-point shot was made while being fouled by a defender from the opposing team (total number of And 1s made on 3-point shooting fouls).,NA,NA
ast,"pgps,tgs,gfl,pas,tas,pgs,taps,paps,lu,tgps,oo",AST,AST,1,Assists,Assists,NA,pos,int,Assists,The total number of assists.,NA,NA
ast2,"pgps,paps",AST,AST2,1,2P Assists,2P Assists,NA,pos,int,2P Assists,The total number of assists where the shooter scored on a 2-point shot.,NA,NA
ast2P100,paps,AST/100,AST2/100,1,2P Assists / 100 Poss,2P Assists / 100 Poss,NA,pos,num,2P Assists / 100 Poss,The total number of assists per 100 possessions where the shooter scored on a 2-point shot.,NA,NA
ast2P40,paps,AST/40,AST2/40,1,2P Assists / 40 Mins,2P Assists / 40 Mins,NA,pos,num,2P Assists / 40 Mins,The total number of assists per 40 minutes where the shooter scored on a 2-point shot.,NA,NA
ast2Pg,paps,AST/G,AST2/G,1,2P Assists / Game,2P Assists / Game,NA,pos,num,2P Assists / Game,The total number of assists per game where the shooter scored on a 2-point shot.,NA,NA
ast3,"pgps,paps",AST,AST3,1,3P Assists,3P Assists,NA,pos,int,3P Assists,The total number of assists where the shooter scored on a 3-point shot.,NA,NA
ast3P100,paps,AST/100,AST3/100,1,3P Assists / 100 Poss,3P Assists / 100 Poss,NA,pos,num,3P Assists / 100 Poss,The total number of assists per 100 possessions where the shooter scored on a 3-point shot.,NA,NA
ast3P40,paps,AST/40,AST3/40,1,3P Assists / 40 Mins,3P Assists / 40 Mins,NA,pos,num,3P Assists / 40 Mins,The total number of assists per 40 minutes where the shooter scored on a 3-point shot.,NA,NA
ast3Pg,paps,AST/G,AST3/G,1,3P Assists / Game,3P Assists / Game,NA,pos,num,3P Assists / Game,The total number of assists per game where the shooter scored on a 3-point shot.,NA,NA
astAgst,gfl,AST,AST AGST,1,Opponent Assists,Opponent Assists,NA,neg,int,Opponent Assists,The total number of assists by the opponent.,NA,NA
astP100,"pas,tas,lu,oo",AST/100,AST/100,1,Assists / 100 Poss,Assists / 100 Poss,NA,pos,num,Assists / 100 Poss,An estimate of the number of assists per 100 possessions played.,NA,NA
astP40,"pas,tas,lu,oo",AST/40,AST/40,1,Assists / 40 Mins,Assists / 40 Mins,NA,pos,num,Assists / 40 Mins,The number of assists per 40 minutes played.,NA,NA
astPct,"tgs,pas,tas,pgs,lu,oo",AST%,AST%,1,Assist Pct,Assist Percentage,Percentage of on-court team FGMs assisted,pos,pct,Assist Percentage,NA,Percentage of the team's made shots that were assisted.,An estimate of the percentage of teammate field goals a player assisted while he was on the floor.
astPg,"pas,tas",AST/G,AST/G,1,Assists / Game,Assists / Game,NA,pos,num,Assists / Game,The number of assists per game.,NA,NA
astRatio,"tgs,pas,tas,pgs,lu,oo",AST Ratio,AST Ratio,1,Assist Ratio,Assist Ratio,NA,pos,pct,Assist Ratio,NA,Percentage of the team's possessions that ends in an assist.,The percentage of possessions used by the player that ends in an assist.
astTm,"pgps,paps",NA,NA,87,NA,NA,NA,NA,NA,Team Assists,NA,NA,NA
astTov,"tgs,pas,tas,pgs,lu,oo",AST/TOV,AST/TOV,1,Ast/Tov Ratio,Assist-To-Turnover Ratio,NA,pos,ratio,Assist To Turnover Ratio,NA,The ratio of total assists to total turnovers committed by the team.,The ratio of total assists to total turnovers committed by the player.
astUsage,"pas,pgs",AST/USG,AST/USG,1,Assist-Usage Ratio,Assist-To-Usage Ratio,NA,pos,ratio,Ratio of Assist Percentage to Usage Rate,NA,NA,"A player's assist percentage can be inflated from a player having a high usage rate, as he'll have more opportunities to generate assists. With AST% / USG%, a player must have a high AST% relative to their USG% to perform well."
astdPts,"pgps,paps",ASTDPTS,ASTDPTS,1,Assisted PTS,Points Assisted On,NA,pos,int,Assisted Points Scored,NA,NA,The total number of points scored by the player that were assisted by a teammate.
atb3Ast,"pgps,paps",AST,ATB3 AST,1,Above Break 3s Assists,Above Break 3s Assists,NA,pos,int,Above The Break 3s Assists,The total number of assists where the shooter scored an above the break 3.,NA,NA
atb3AstP100,paps,AST/100,ATB3 AST/100,1,Above Break 3s Assists / 100 Poss,Above Break 3s Assists / 100 Poss,NA,pos,num,Above The Break 3s Assists / 100 Poss,The total number of assists per 100 possessions where the shooter scored an above the break 3.,NA,NA
atb3AstP40,"pgps,paps",AST/40,ATB3 AST/40,1,Above Break 3s Assists / 40 Mins,Above Break 3s Assists / 40 Mins,NA,pos,num,Above The Break 3s Assists / 40 Mins,The total number of assists per 40 minutes where the shooter scored an above the break 3.,NA,NA
atb3AstPg,paps,AST/G,ATB3 AST/G,1,Above Break 3s Assists / Game,Above Break 3s Assists / Game,NA,pos,num,Above The Break 3s Assists / Game,The total number of assists per game where the shooter scored an above the break 3.,NA,NA
atb3AstdPct,"pgps,taps,paps,tgps",ASTD%,ATB3 ASTD%,1,Above Break 3s Assisted Pct,Above Break 3s Assisted Pct,NA,pos,pct,Above The Break 3s Assisted Percentage,The percentage of shots made on above the break 3s that were assisted.,NA,NA
atb3Drb,"taps,tgps",DRB,ATB3 DRB,1,Above Break 3s Def Rebounds,Above Break 3s Defensive Rebounds,NA,pos,int,Above The Break 3s Defensive Rebounds,The total number of defensive rebounds grabbed on opponent's missed above the break 3s.,NA,NA
atb3DrbChnc,"taps,tgps",CHNC,ATB3 DRB CHNC,1,Above Break 3s Def Rebound Chances,Above Break 3s Defensive Rebound Chances,NA,pos,int,Above The Break 3s Defensive Rebound Chances,The total number of defensive rebounds chances (defensive rebounds grabbed plus opponent offensive rebounds) on opponent's missed above the break 3s.,NA,NA
atb3DrbPct,"taps,tgps",DRB%,ATB3 DRB%,1,Above Break 3s Def Rebound Pct,Above Break 3s Defensive Rebounding Percentage,NA,pos,pct,Above The Break 3s Defensive Rebounding Percentage,Percentage of the opponent's missed above the break 3s that were defensive rebounded by the team.,NA,NA
atb3FgPct,"pgps,taps,paps,lu,tgps,oo",FG%,ATB3 FG%,1,ATB 3s FG%,Above Break 3s FG%,NA,pos,pct,Above The Break 3s Field Goal Percentage,Field goal percentage on above the break 3s.,NA,NA
atb3FgPctS01,"pgps,taps,paps,tgps",FG%,ATB3 FG% (0-10s),1,ATB3 FG% (0-10s on Shot Clock),Above Break 3s FG% with 0-10 Secs on Shot Clock,NA,pos,pct,Above The Break 3s FG% with 0 - 10 Seconds Left on Shot Clock,Field goal percentage on above the break 3s taken with 0 - 10 seconds remaining on the shot clock.,NA,NA
atb3FgPctS12,"pgps,taps,paps,tgps",FG%,ATB3 FG% (10-20s),1,ATB3 FG% (10-20s on Shot Clock),Above Break 3s FG% with 10-20 Secs on Shot Clock,NA,pos,pct,Above The Break 3s FG% with 10 - 20 Seconds Left on Shot Clock,Field goal percentage on above the break 3s taken with 10 - 20 seconds remaining on the shot clock.,NA,NA
atb3FgPctS23,"pgps,taps,paps,tgps",FG%,ATB3 FG% (20-30s),1,ATB3 FG% (20-30s on Shot Clock),Above Break 3s FG% with 20-30 Secs on Shot Clock,NA,pos,pct,Above The Break 3s FG% with 20 - 30 Seconds Left on Shot Clock,Field goal percentage on above the break 3s taken with 20 - 30 seconds remaining on the shot clock.,NA,NA
atb3Fga,"pgps,taps,paps,lu,tgps,oo",FGA,ATB3 FGA,1,ATB 3s FGA,Above Break 3s FGA,NA,pos,int,Above The Break 3s Field Goal Attempts,The total number of field goal attempts on above the break 3s.,NA,NA
atb3FgaFreq,"pgps,taps,paps,lu,tgps,oo",FGA%,ATB3 FGA%,1,ATB 3s FGA%,Above Break 3s FGA%,NA,pos,pct,Above The Break 3s Field Goal Attempt Frequency,Percentage of shots taken as above the break 3s.,NA,NA
atb3FgaFreqAllS01,"pgps,taps,paps,tgps",FGA%,ATB3 FGA% (0-10s) A,1,ATB3 FGA% (0-10s) % All,Above Break 3s FGA% (0-10s) % of all shots,NA,pos,pct,"Above The Break 3s FGA Freq, 0 - 10 Seconds Left on Shot Clock (% of all shots)",Percentage of all shots taken that were above the break 3s with 0 - 10 seconds remaining on the shot clock.,NA,NA
atb3FgaFreqAllS12,"pgps,taps,paps,tgps",FGA%,ATB3 FGA% (10-20s) A,1,ATB3 FGA% (10-20s) % All,Above Break 3s FGA% (10-20s) % of all shots,NA,pos,pct,"Above The Break 3s FGA Freq, 10 - 20 Seconds Left on Shot Clock (% of all shots)",Percentage of all shots taken that were above the break 3s with 10 - 20 seconds remaining on the shot clock.,NA,NA
atb3FgaFreqAllS23,"pgps,taps,paps,tgps",FGA%,ATB3 FGA% (20-30s) A,1,ATB3 FGA% (20-30s) % All,Above Break 3s FGA% (20-30s) % of all shots,NA,pos,pct,"Above The Break 3s FGA Freq, 20 - 30 Seconds Left on Shot Clock (% of all shots)",Percentage of all shots taken that were above the break 3s with 20 - 30 seconds remaining on the shot clock.,NA,NA
atb3FgaFreqClockS01,"pgps,taps,paps,tgps",FGA%,ATB3 FGA% (0-10s) C,1,ATB3 FGA% (0-10s) % Clock,Above Break 3s FGA% (0-10s) % of 0-10s shots,NA,pos,pct,"Above The Break 3s FGA Freq, 0 - 10 Seconds Left on Shot Clock (% of 0 - 10s shots)",Percentage of all shots taken with 0 - 10 seconds remaining on the shot clock that were above the break 3s.,NA,NA
atb3FgaFreqClockS12,"pgps,taps,paps,tgps",FGA%,ATB3 FGA% (10-20s) C,1,ATB3 FGA% (10-20s) % Clock,Above Break 3s FGA% (10-20s) % of 10-20s shots,NA,pos,pct,"Above The Break 3s FGA Freq, 10 - 20 Seconds Left on Shot Clock (% of 10 - 20s shots)",Percentage of all shots taken with 10 - 20 seconds remaining on the shot clock that were above the break 3s.,NA,NA
